Code,Name,Tax ,IncludedInPrice,Quantity,Bulk Price,Individual Price,Units in Packet
1115,ESTUCH CHOCOL EXPREtrueON 55G,0,TRUE,6,4600,0,0
1116,G OREO SLUG,0,TRUE,304,2600,0,0
1119,ESTUCH CHOCO MENSAJES FLORES 66G,0,TRUE,3,4500,0,0
1128,SANKY CARAMELO 10G 12BS X12UND,0,TRUE,2,3300,0,0
1133,MERCI ALMENDRA CUB CHOC 80G,0,TRUE,3,8700,0,0
1150,DULCES TENTACIONES 207 6GRS,0,TRUE,6,10800,0,0
1172,TRIDENT X 5 MENTA X18,0,TRUE,16,22500,1300,0
1173,trident x 3 sandia,19,TRUE,105,17600,800,0
1176,almendra francesa x 90 gr flor,19,TRUE,4,5800,0,0
1179,TRIDENT X5 YERBABUENA X18,0,TRUE,4,19000,0,0
1182,TRIDENT X3 MENTA X24,0,TRUE,6,18000,800,0
1198,CHOC RECUBIERTO TOBI 2,0,TRUE,1,13400,0,0
1214,ALMENDRA FRANCESA BOMBONERA,19,TRUE,1,46600,0,0
12144,MAX COMBI (16BS/100UN/4g),0,TRUE,6,8000,0,0
12242,MILLOWS UNICORNIO (8BS/50/5g),0,TRUE,34,7900,0,0
1229,GRISSLY AROS 16BS X50UND X6G,0,TRUE,7,6900,0,0
1230,"COFFE DELIGH BLANDO 36BS X50UND X4,3G",0,TRUE,7,5400,0,0
12319,GOMAS 100% MULTIVITAMINAS (24BS/1/72g),0,TRUE,6,3100,0,0
12320,GOMAS 100% VIT C (24BS/1/72g),0,TRUE,6,3100,0,0
12371,MILLOWS OSO (8BS/50/5g),0,TRUE,35,7600,0,0
12372,MILLOWS CORAZON (8BS/50/5g),0,TRUE,41,7900,0,0
12373,MILLOWS INDIVIDUAL CREAM (8BS/50/5g),0,TRUE,44,5500,0,0
12378,GRISSLY CORAZON (24BS/1/80g),0,TRUE,9,2000,0,0
1238,ALMENDRA trueN AZUCAR,0,TRUE,10,6300,0,0
12444,MILLOWS SNACK BLANCO (30BS/1/35g),0,TRUE,21,1500,0,0
12445,MILLOWS SNACK MARGARITA (30BS/1/35g),0,TRUE,10,1500,0,0
12446,GRISSLY SOUR (24BS/1/72g),0,TRUE,19,2000,0,0
12478,CHUPETA KICK MASTICABLE (18BS/12un/24g),0,TRUE,5,6600,0,0
1248,TRIDENT X5 MORA X28,0,TRUE,6,19000,0,0
12488,KICK MANI PL (12PL/12Uf/35g),0,TRUE,6,13900,0,0
12504,EXHIBIDOR GRISSLY,0,TRUE,1,,0,0
12587,MAX COCO CARAMELO BLANDO (16BS/100/4g),0,TRUE,6,9400,0,0
12649,SURTIDO SABORES 15GR X12,19,TRUE,4,6500,700,0
12654,MARRANETA TOCIfalse 20G X12,19,TRUE,9,8000,1000,0
1267,CHICLETS CUBO X100 MENTA,0,TRUE,2034,15400,0,0
12673,COPA CHOCOLATE X100UN X8PQ,19,TRUE,1,29200,0,0
1276,BONKISS 3 SABORES,0,TRUE,1,16600,0,0
12777,PRASH SABORES X17GRX12X16,19,TRUE,8,7000,0,0
12797,GRISSLY CLAtrueCA (24BS/1/80g),0,TRUE,14,2000,0,0
12798,GRISSLY CLAtrueCA (28BS/1/400g),0,TRUE,23,6600,0,0
1280,FANTAtrueAS 1 2 3,0,TRUE,6,4500,0,0
12803,AREQUIPE (24DP/1/220g),0,TRUE,9,6500,0,0
12804,AREQUIPE (24TR/1/220g),0,TRUE,7,6900,0,0
12806,GRISSLY SANDIA (24BS/1/80g),0,TRUE,23,2000,0,0
12807,GRISSLY OSOS (24BS/1/80g),0,TRUE,20,2000,0,0
12851,"BBB CHICLE FRESA (24PL/50/4,1g)",0,TRUE,5,6500,0,0
12883,BARRA DE CEREAL FIBRA (12PL/6/23g),0,TRUE,2,1500,0,0
12933,GRISSLY DEI-FIN (24BS/1/80g),0,TRUE,15,4500,2000,0
12936,MENTA HELADA SURTIDA (18BS/100/4g),0,TRUE,35,7200,0,0
12968,BON BON BUM CARAMELO (16BS/45/10g),0,TRUE,5,8500,0,0
12973,GRISSLY GUSAfalseS BOLSA (16BS/1/300g),0,TRUE,3,8500,0,0
12992,GRISSLY AROS (24BS/1/78g),0,TRUE,18,2000,0,0
1300080,NUTELA X140 GMS X10,0,TRUE,10,10300,0,0
13005,YOLIS LONCHERA AMARILLA 205G,19,TRUE,4,6500,0,0
1300504,ROCHER T4X10,0,TRUE,16,8600,0,0
1301020,BARRILETE POLVO POPS 12DSPX12UND,0,TRUE,1,6900,1000,0
1301196,TUBITO LECHE COND SDX300 GRM,0,TRUE,1,6700,6700,0
1301214,TUBITO LECHE COND 25GR 20 RIST 12 UND,0,TRUE,3,9600,1000,0
1301233,TUBITO LECHE COND 17GR X 30,19,TRUE,1,15000,0,0
1301547,HANUTA DISPLAY T12 X 15,0,TRUE,4,20400,1300,0
1301566,TIC TAC MENTA T12 X 24,0,TRUE,1,20000,1700,0
1301567,TIC TAC NARANJA 12X24,0,TRUE,1,20000,1700,0
1301569,TIC TAC FRUTOS ROJOS T12X24,0,TRUE,1,20000,1700,0
1301577,NUTELLA 350 g X15,0,TRUE,3,19000,1200,0
1301582,ROCHER CORAZON X8 X24,0,TRUE,2,24000,0,0
1301586,ROCHER X8 X10 X2 ORO,0,TRUE,14,19000,0,0
1301601,ROCHER DISPLAY X3 UNDS X16,0,TRUE,7,5400,0,0
1302010,LOKIfalse 24X100UND,0,TRUE,14,8000,0,0
1303001,BIANCHI CHOCOLATE 18X100 UND,0,TRUE,2,10800,0,0
1303005,BIANCHI CHOCOLATE BLANCO 18X100 UND,0,TRUE,903,10800,0,0
1303020,BIANCHI CHOCOLATINA BARRA 12DSPX12 UND,0,TRUE,1,11700,0,0
1303022,BIANCHI CHOCOLATIN BLANCA BARRA 12DSOX12,0,TRUE,3,11700,0,0
1303072,BIANCHI CHOCOSNACKS,19,TRUE,12,2500,0,0
13046,GRISSLY GUSAfalseS (8BM/1/600g),0,TRUE,2,19000,0,0
1305001,RICATO CARAMELO 18X50 UND,0,TRUE,9,6800,0,0
1305020,RICATO CARAMELO RUSTICOS 18X55UND,0,TRUE,8,6800,0,0
13068,"SPLOT ZOMBIE (18BS/50/4,1g)",0,TRUE,3,6400,0,0
13074,"GRISSLY SPIASH (8PL/100/5,4g)",0,TRUE,2,17400,0,0
13076,"GRISSLY CORAZON (8PC/iOO/5,4g)",0,TRUE,3,17400,0,0
13078,"SPLOT BOLA (16BS/100/3,5g)",0,TRUE,3,9100,0,0
1308001,CHAO MENTA X2 18X100X2UND,0,TRUE,1200,12200,0,0
1308005,CHAO FRESA X2 18X100X2UND,0,TRUE,12,12200,0,0
1309001,MENTA CLAtrueCA SUPER 24X100,0,TRUE,10,5900,0,0
1310001,TURRON SUPERCOCO 18X100UND,0,TRUE,2726,13600,0,0
1310020,BOMBOM SUPERCOCO 24X24,0,TRUE,6,9300,0,0
13117,MOMENTS X3 (16PL/1/42g),0,TRUE,1,4300,0,0
1312050,REVOLCON HIPERACIDO ATOMOS X 48,0,TRUE,6,7200,0,0
1312055,REVOLCON HIPERACIDO CHICLE X 50 UNDS,0,TRUE,4,7400,0,0
1313001,TRULULU AROS 18X100 UND,0,TRUE,4,16200,0,0
1313002,TRULULU CLAtrueCAS 24X100UND,0,TRUE,5,6900,0,0
1313006,TRULULU AROS 36 X 50,0,TRUE,10,8100,0,0
1313026,TRULULU CHOCOLORES 12DSPX12UND,0,TRUE,2,13900,0,0
13137,splot acid linea x 5,19,TRUE,8,8500,0,0
1317,MINI MICHOC FRUTOS ROJOS,0,TRUE,5,4300,0,0
13178,GRIStrueY ANILLOS (16BS/50/6g),0,TRUE,6,11100,0,0
1329,NUCITA NUGGETS,19,TRUE,7,8600,0,0
1360,TOCIMIEL SURTIDA 1 DISP X20GM,5,TRUE,30,7500,7000,0
13603,"XTIME CHICLE MENTA 24 BS 100UND 3,1G",0,TRUE,6,11400,0,0
13604,"XTIME CHICLE YERBABNA 24BS 100UND 3,2g",0,TRUE,6,11400,0,0
13605,"XTIME CHICLE CANELA 24BS X100UND X3,2G",0,TRUE,6,11400,0,0
13606,XTIME CHICLE FRESH (24BS/10UND/3.2G),19,TRUE,6,10700,150,0
13607,"XTIME CHICLE SANDIA (24BS/100Un/3,2g)",0,TRUE,6,11400,0,0
1363,SPARKIES 5S COL,0,TRUE,13,9800,0,0
1364,CARAMELO DURO trueN AZUCAR,0,TRUE,3,5600,0,0
1365,BONKISS CLAStrueC X18 UND,0,TRUE,5,13000,0,0
13844,MILLOWS MINI (12BS/1/145g),0,TRUE,9,4400,0,0
13885,tipitin surtido,19,TRUE,6,7000,0,0
13966,MORDISQUETAS POSTRE DE MAPACUYA (20BS/24,0,TRUE,7,7300,0,0
13967,MORDISQUETAS RON CON PASAS (20BS/24/14g),0,TRUE,8,7300,0,0
13968,SfalseW MINT 18BS Z100 X4g,0,TRUE,22,7900,0,0
13994,SPLOT ESPANTA OJOS 24PLS X60UND X3g,0,TRUE,6,5200,0,0
1402,"CHOCMELOS PLEGADIZA X80 12PL X4,8G",0,TRUE,1,15300,0,0
1409,GALL RITZ TACO,0,TRUE,120,1600,0,0
141057,ACEITUNAS NG,19,TRUE,1,60000,0,0
14113,"XTIME MENTAS XTREMOS 18BS X100 X3,1 G",0,TRUE,8,8900,0,0
14125,MILLOWS FRESAS CON CREMA,19,TRUE,10,1500,0,0
141412,RIZZ POLLO X 37 GR X 17,19,TRUE,17,18200,0,0
1419,TRIDENT X5 SANDIA X18,0,TRUE,4,19000,0,0
142,EST IRREtrueSTIBLE X 15 GR,19,TRUE,17,2400,0,0
1424879,VIN CORTE MOSCATEL,19,FALSE,21,8000,0,0
1424881,BEB GAtrue VINCO,19,TRUE,12,11000,0,0
1432,TRIDENT SPX70 SANDIA,0,TRUE,7,11000,0,0
1437,TRIDENT SPX70 HERBAL,0,TRUE,2,11000,0,0
1459,MILLOWS FOGATA AUTO 12 BS X1 X145G,0,TRUE,10,4800,0,0
146,ELVAN ABEJITAS BOMBONERA,19,FALSE,1,35000,400,0
14749,GRISSLY SNACK TIBUR�N (36BS/1/50g),0,TRUE,31,1100,0,0
14750,GRISSLY SNACK HUELLITAS (36BS-1-50g),0,TRUE,36,1100,0,0
14751,GRISSLY SNACK COCODRILO (36BS/1/50g),0,TRUE,36,1100,0,0
148,"MENTA HELADA (18BS-100-1,0G)",0,TRUE,49,7200,0,0
1481,MERCI ALMOND CHOCO BLAN 80,0,TRUE,5,8800,0,0
1483,chocolatina blanca con arandafalses,19,TRUE,6,7000,0,0
1501010,PIN PON MARACUYA 16X24UND,0,TRUE,2,6900,0,0
1505002,YOGUETA FRUTALES FRESA 16X24UND,0,TRUE,3,6600,0,0
1505003,YOGUETA FRUTALES MORA 16X24UND,0,TRUE,2,6600,0,0
1506001,MANGOOS 16X48,0,TRUE,10,5700,0,0
1506006,PINA COLADA 16X48,0,TRUE,10,5700,0,0
1508001,MIST SURTIDO 18 X 100,0,TRUE,63,7200,0,0
1513001,SONETTO RELLEfalse CHOCOLATE 18X100UND,0,TRUE,6,9300,0,0
1513004,SONNETTO RELLEfalse CHOCOLATE BLANCO 18X100UND,0,TRUE,6,8200,0,0
1517001,FRUNAS ORIGINAL 18X32X4UND,0,TRUE,6,8600,0,0
1517010,FRUNAS TUBO ORIG EXPREStrueONS 18X50UND,0,TRUE,4,6900,0,0
1517015,FRUNAS ESPECIALES FRUTOS ROJOS 16X70X5,0,TRUE,3,8800,0,0
1517016,FRUNAS ESPACIALES MIX 16X70X5UND,0,TRUE,3,8800,0,0
1519006,TROLLI ANAYCONDA 16X100GR,0,TRUE,6,6900,0,0
1519010,TROLLI RATATON 6DSPX50UND,0,TRUE,3,14700,0,0
1519180,TROLLI ANAYCONDA JARRA 6X200UND,0,TRUE,6,16200,0,0
1519182,TROLLI OINK 8X100UND,0,TRUE,4,15600,0,0
152,ELVAN MARIQUITAS BOMBONERA,19,TRUE,4,35000,0,0
152335,PAPEL TORNASOL,19,TRUE,1,8000,0,0
1545,BUBBALOO X70 FRUTA,0,TRUE,6,9800,0,0
1546,BUBBALOO X70 FRESA,0,TRUE,7,9800,0,0
1567,BUBBALOO X70 CEREZA,0,TRUE,7,9800,0,0
1568,BUBBALOO X70 RETRO,0,TRUE,3,9800,0,0
157240,GLOBO CORAZON ROJO,19,TRUE,3,2500,0,0
157323,GLOBO ESTRELLA ROJA,19,TRUE,4,2500,0,0
158,WAFER trueN AZUCAR NARANJA 80GR,0,TRUE,9,4300,0,0
159,WAFER trueN AZUCAR VAINILLA 80GR,0,TRUE,14,4300,0,0
160,CHOCOLATINA trueN AZUCAR 72GR,0,TRUE,2,7500,0,0
16084,smart seed,19,TRUE,1,100000,0,0
1620,TRI EVUPX12 MENTA,0,TRUE,11,40000,3400,0
163,CHUPETA DE FRESAS 288 GRS,0,TRUE,6,5600,0,0
164,BASTON SNIKER,19,TRUE,1,15000,0,0
167,WAFER PAQ CHOCOLAT E94 GRS,0,TRUE,3,2300,0,0
1683,"BANANA EXTRA COLOMB X100 X24BS X3,5G",0,TRUE,8,5600,0,0
169,WAFER PAQUETACO FRESA 94 GR,0,TRUE,1,2300,0,0
169647,GLOBO ESTRELLA PLATEADO,19,TRUE,2,3500,0,0
169652,GLOBO CORAZON VERDE,19,TRUE,2,2500,0,0
16989873,ROLLO CHICLE WACKY FRESA,19,TRUE,36,55500,2000,0
1706,estuche corazon almendra mix,19,TRUE,6,8000,0,0
171,ROLLO CHICLE WACKY MORAZUL,19,FALSE,37,55000,1500,0
1712,CHUP CHOC COOKIES AND CREAM,0,TRUE,14,5900,0,0
172768,MINI HERSHEYS COOKIES N CREAM,0,TRUE,82,1000,0,0
176,COFFE DELIGHT X 50 (36-50-3.8G),0,TRUE,12,4100,0,0
1760,EST MINI CARTERA X 30 GR,19,TRUE,21,4200,0,0
1761,EST TREBOL X 35 GR,19,TRUE,5,6400,0,0
176460,GLOBO GRADO,19,TRUE,4,3500,0,0
177,COFFE DELIGHT DURO X 100,19,TRUE,49,8700,8700,0
1801,PEP BARK,19,TRUE,2,10000,0,0
180418,PAPEL CELOFAN ROJO,19,TRUE,10,1500,0,0
180420,PAPEL CELOFAN COLOR VERDE,19,TRUE,10,7200,0,0
184,WAFER PAQ VAINILLA 94 GRS,0,TRUE,3,2300,0,0
18675,coca cola cero 1.75 ara,19,TRUE,6,5000,0,0
1873,HALLS X110 STROG LYPTUS,19,TRUE,660,200,130,0
200053,GALLETA TARTALETAS ARTESANAL 150GR,0,TRUE,8,5300,0,0
200114,CANASTICA MORA TIPO TARTALETA 75GR,0,TRUE,6,1600,0,0
20025,"MUUU GALLETA MANTEQUILLA (18BS/18/19,5g)",0,TRUE,16,7200,0,0
200421,KURABIE CON ALMENDRAS X50 GR,0,TRUE,20,4200,0,0
200466,GRECO INTEGRALES AVENA Y CHOC 156GR,0,TRUE,12,3800,0,0
200529,GALLETAS CANASTICAS TARTALETA 112 GR,0,TRUE,5,3600,0,0
200531,GALLETAS CANASTICAS CHIPS CHOCOLA 105 GR,19,TRUE,20,3400,0,0
200553,GALLETA CHOCO CHIPS 240GR,0,TRUE,12,4800,0,0
200557,KURABIE ESTUCHE DE LINEA 80GR,0,TRUE,31,5500,0,0
200622,GALLETAS DULCES MARIAS 170 GR,0,TRUE,18,2700,0,0
200630,GALLETAS CANASTICAS CON ALMENDRA 100GR,0,TRUE,2,3600,0,0
200637,MERRY CHRISTMAS LATA 120GR,0,TRUE,1,8600,0,0
200642,GALLETA KALA AVENA ARANDAfalseS 216 GR,19,TRUE,1,11500,0,0
200643,GALLETA KALA AVENA U. PASA ALBARIC 216 GR,0,TRUE,8,11300,0,0
200644,GALLETA KALA AVENA QUINUA NUECES 216GR,0,TRUE,9,11300,0,0
200659,GALLETAS DULCE NAVIDAD BOLSA 125GR,0,TRUE,5,2300,0,0
20078,PIAZZA DELEITE (12LAT/6/20g),0,TRUE,8,11400,0,0
20090,CAPRI FRESA (24BS/24/12g),0,TRUE,6,5900,0,0
20093,PONKY PONC VAINILLA (24TIR/8/33g),0,TRUE,4,5200,0,0
20136,CHOCOPONKY (24TIR/8/37g),0,TRUE,2,9000,1200,0
20151,MUUU. .CREMADA MAX x6 (24BS/6/34g),0,TRUE,8,4000,0,0
2018627,tosh arroz oliva i romero,19,TRUE,59,2700,0,0
2018628,tosh arroz chia y ajonjoli,19,TRUE,66,2700,0,0
20225,NAVIDENA (24PL/1/200g),0,TRUE,63,7000,0,0
20344,AGOGO BOLA PEQUENA 250,0,TRUE,35,5100,0,0
204,RUSSEL STOVER,19,TRUE,1,10000,0,0
20401,BRIDGE CHOCOMANI IND (12PL/10/37g),0,TRUE,2,12800,1100,0
20614,MINI ARBOL NAVIDAD (24PL/1/50g),0,TRUE,2,4600,0,0
2070,TRIDENT TWIS TRESA,0,TRUE,3,23400,0,0
2087,TRIDENT TWIS MENTA,0,TRUE,3,23400,0,0
2090,TRIDENT TWIS YERBA,0,TRUE,3,23400,0,0
2095,TIPITIN CORAZON 30BS X25 X9G,0,TRUE,54,4400,0,0
2096,TIPITIN trueCODELICA X30BS X24 X9G,0,TRUE,30,4400,0,0
2098,PIRULITO SURTIDO 25BS X24 X9G,0,TRUE,12,4500,0,0
210252,PISTACHO,0,TRUE,7,4200,0,0
2110,PIRULITO LECHE 25BS X24 UND X9G,0,TRUE,12,4200,0,0
2126,CHOCOLATE CARAMELO FONDANTE,19,TRUE,4,10000,0,0
2127,CHOCOLATE FONDANTE AZUL,19,TRUE,2,10000,0,0
21388,chocmelos corazon,19,TRUE,8,17200,2000,0
2191,NUCITA CREMA DISP 16PL X18UND X14g,0,TRUE,3,9600,800,0
2194,NUCITA BARQUILLO,19,TRUE,12,9500,0,0
221001,MILO GALLETA ANILLOS 24X12X32.5 GR,0,TRUE,12,7200,600,0
221007,MILO GALLETA ANILLOS 24X16X48GRM,19,TRUE,176,1200,1100,0
2220,RIZZ X 17 SURTIDA X 37 GR,19,TRUE,170,18300,0,0
222060,MAXI WAFER COCOSETTE 6X24X50G,0,TRUE,28,34400,1500,0
2221,RIZZ X 17 MAYONESA X 37 GR,19,TRUE,37,18200,0,0
2227,SORINI KISS ME,19,FALSE,6,12000,0,0
2228,SORINI LOVE ME X 105 GR,19,TRUE,6,12000,0,0
22429,BON BON BUM FRESA INTENSA (15BS-24-19g),0,TRUE,13,7200,500,0
2263,G INTEGRAL MULTICEREAL,0,TRUE,3,5300,600,0
2321,TABLETA MAGIC HAZELNUT X 80 GR,19,TRUE,1,2600,0,0
2334,MILLOWS MARGARITA 12BS X1 X145G,0,TRUE,1,4800,0,0
2346,EST ROMANTICO X 50 GR,19,TRUE,7,12000,0,0
239,DETALLES 1 66GRS CITRIX,0,TRUE,2,4500,0,0
2401,G OREO ORIGINAL X 6,0,TRUE,16,6500,1100,0
242,DETALLES 2 66GRS CITRIX,0,TRUE,2,4500,0,0
24257,BON  BON BUM SURTIDO (15BS-24-19g),0,TRUE,13,7000,0,0
243,DETALLES 3 66GRS,0,TRUE,2,4500,0,0
2442,COCA COLA 400ML,19,TRUE,46,3000,0,0
2473,EST MU�ECO REGALO X 35 GR,19,TRUE,12,8500,0,0
250,HIPER LONCH VAINILL 156 GRS,0,TRUE,11,4200,0,0
25080,ROLLO DORADO X METRO,19,TRUE,1,2000,0,0
2514,DUCREM LOVE NAPOLITAfalse X 450 GR,19,TRUE,17,18000,1500,0
2515,DUCREAM SMILE X 450 GR,19,TRUE,18,20000,1000,0
2518,COLORETI FIESTA LOVE X 324 GR,19,TRUE,7,20800,1200,0
2535,BUBBALOO MORA ANDIfalse,0,TRUE,5,9800,0,0
